id,name,handle,"channelUrl",description,"subscriberCount",verified,"createdAt","updatedAt"
81,History Time,,https://youtube.com/@HistoryTime,,,f,2025-06-23 16:09:12.643,2025-06-23 16:09:12.643
82,History With Cy,,https://youtube.com/@HistoryWithCy,,,f,2025-06-23 16:09:12.667,2025-06-23 16:09:12.667
83,D-O Research Hub,,https://youtube.com/@D-OResearchHub,,,f,2025-06-23 16:09:12.698,2025-06-23 16:09:12.698
84,EarlyHumans,,https://youtube.com/@EarlyHumans,,,f,2025-06-23 16:09:12.72,2025-06-23 16:09:12.72
85,BioGraphics,,https://youtube.com/@BioGraphics,,,f,2025-06-23 16:09:12.732,2025-06-23 16:09:12.732
86,Dr. Rob's Archaeofilms,,https://youtube.com/@Dr.Rob'sArchaeofilms,,,f,2025-06-23 16:09:12.742,2025-06-23 16:09:12.742
87,History Hit,,https://youtube.com/@HistoryHit,,,f,2025-06-23 16:09:12.752,2025-06-23 16:09:12.752
88,Kings and Generals,,https://youtube.com/@KingsandGenerals,,,f,2025-06-23 16:09:12.761,2025-06-23 16:09:12.761
89,Inspire Education,,https://youtube.com/@InspireEducation,,,f,2025-06-23 16:09:12.77,2025-06-23 16:09:12.77
90,History Explained,,https://youtube.com/@HistoryExplained,,,f,2025-06-23 16:09:12.78,2025-06-23 16:09:12.78
91,World of Antiquity,,https://youtube.com/@WorldofAntiquity,,,f,2025-06-23 16:09:12.789,2025-06-23 16:09:12.789
92,The Grand Portfolio,,https://youtube.com/@TheGrandPortfolio,,,f,2025-06-23 16:09:12.805,2025-06-23 16:09:12.805
93,Tiny Epics,,https://youtube.com/@TinyEpics,,,f,2025-06-23 16:09:12.815,2025-06-23 16:09:12.815
94,Penn Museum,,https://youtube.com/@PennMuseum,,,f,2025-06-23 16:09:12.824,2025-06-23 16:09:12.824
95,Dan Davis History,,https://youtube.com/@DanDavisHistory,,,f,2025-06-23 16:09:12.835,2025-06-23 16:09:12.835
96,Celtic History Decoded,,https://youtube.com/@CelticHistoryDecoded,,,f,2025-06-23 16:09:12.845,2025-06-23 16:09:12.845
97,Dig it with Raven,,https://youtube.com/@DigitwithRaven,,,f,2025-06-23 16:09:12.864,2025-06-23 16:09:12.864
98,Study of Antiquity and the Middle Ages,,https://youtube.com/@StudyofAntiquityandtheMiddleAges,,,f,2025-06-23 16:09:12.879,2025-06-23 16:09:12.879
99,Table of Gods,,https://youtube.com/@TableofGods,,,f,2025-06-23 16:09:12.9,2025-06-23 16:09:12.9
100,The Honorable Caligula,,https://youtube.com/@TheHonorableCaligula,,,f,2025-06-23 16:09:12.924,2025-06-23 16:09:12.924
101,See U in History,,https://youtube.com/@SeeUinHistory,,,f,2025-06-23 16:09:12.966,2025-06-23 16:09:12.966
102,Odyssey,,https://youtube.com/@Odyssey,,,f,2025-06-23 16:09:12.997,2025-06-23 16:09:12.997
103,cf-apps7865,,https://youtube.com/@cf-apps7865,,,f,2025-06-23 16:09:13.013,2025-06-23 16:09:13.013
104,Know the Science,,https://youtube.com/@KnowtheScience,,,f,2025-06-23 16:09:13.977,2025-06-23 16:09:13.977
105,IT Scholar,,https://youtube.com/@ITScholar,,,f,2025-06-23 16:09:13.987,2025-06-23 16:09:13.987
106,RelicHistory,,https://youtube.com/@RelicHistory,,,f,2025-06-23 16:09:15.99,2025-06-23 16:09:15.99
107,Forest Archaic Collective,,https://youtube.com/@ForestArchaicCollective,,,f,2025-06-23 16:09:16,2025-06-23 16:09:16
108,The British Institute for the Study of Iraq,,https://youtube.com/@TheBritishInstitutefortheStudyofIraq,,,f,2025-06-23 16:09:16.01,2025-06-23 16:09:16.01
109,Epimetheus,,https://youtube.com/@Epimetheus,,,f,2025-06-23 16:09:16.035,2025-06-23 16:09:16.035
110,The Archives of Thot,,https://youtube.com/@TheArchivesofThot,,,f,2025-06-23 16:09:16.695,2025-06-23 16:09:16.695
111,DW World History,,https://youtube.com/@DWWorldHistory,,,f,2025-06-23 16:09:16.777,2025-06-23 16:09:16.777
