id,title,"sectionNumber",description,"pageStart","pageEnd",content,"createdAt","updatedAt","chapterId","eventId"
1,Sun-Temples and the Ascendancy of the God Ra,1,,,,,2025-06-23 16:21:14.177,2025-06-23 16:21:14.185,1,513
2,The Fifth Dynasty,2,,,,,2025-06-23 16:21:14.202,2025-06-23 16:21:14.21,1,513
4,Monumental Inscriptions from Private Tombs,1,,,,,2025-06-23 16:21:14.254,2025-06-23 16:21:14.26,2,525
5,The Sixth Dynasty,4,,,,,2025-06-23 16:21:14.272,2025-06-23 16:21:14.278,1,528
6,4.1 The Kings of Akkad 64,1,,,,,2025-06-23 16:21:14.3,2025-06-23 16:21:14.306,3,530
7,The Carpathian Basin and the Steppes (p 221),1,,,,,2025-06-23 16:21:14.352,2025-06-23 16:21:14.359,5,547
8,The Decline of the Old Kingdom,5,,,,,2025-06-23 16:21:14.371,2025-06-23 16:21:14.377,1,552
9,4.2 The Third Dynasty of Ur 74,2,,,,,2025-06-23 16:21:14.421,2025-06-23 16:21:14.427,3,556
10,6.1 Shamshi-Adad and the Kingdom of Upper Mesopotamia 108,1,,,,,2025-06-23 16:21:14.461,2025-06-23 16:21:14.467,9,561
11,Minoan Civilization,1,,,,,2025-06-23 16:21:14.488,2025-06-23 16:21:14.494,10,566
12,Crete and the Minoans (p 188),2,,,,,2025-06-23 16:21:14.506,2025-06-23 16:21:14.513,5,566
13,5.1 Nomads and Sedentary People 86,1,,,,,2025-06-23 16:21:14.53,2025-06-23 16:21:14.537,11,574
14,5.2 Babylonia 90,2,,,,,2025-06-23 16:21:14.552,2025-06-23 16:21:14.558,11,574
15,5.3 Assyria and the East 94,3,,,,,2025-06-23 16:21:14.587,2025-06-23 16:21:14.593,11,575
16,5.4 Mari and the West 100,4,,,,,2025-06-23 16:21:14.622,2025-06-23 16:21:14.628,11,576
17,6.2 HammurabiΓÇÖs Babylon 111,2,,,,,2025-06-23 16:21:14.643,2025-06-23 16:21:14.649,9,579
18,Enter Mycenaeans (p 196) & The Tyrrhenian Sea and Beyond,3,,,,,2025-06-23 16:21:14.66,2025-06-23 16:21:14.666,5,583
19,The Nordic Realms (p 213) & Adventurers and Heroes (p 227),4,,,,,2025-06-23 16:21:14.677,2025-06-23 16:21:14.684,5,584
20,6.3 The Old Hittite Kingdom 120,3,,,,,2025-06-23 16:21:14.715,2025-06-23 16:21:14.722,9,590
21,Greece and the Aegean in the Late Bronze Age (1600-1200 BC),2,,,,,2025-06-23 16:21:14.733,2025-06-23 16:21:14.739,10,594
22,6.4 The ΓÇ£Dark AgeΓÇ¥ 123,4,,,,,2025-06-23 16:21:14.752,2025-06-23 16:21:14.758,9,598
23,9.1 Babylonia 172,1,,,,,2025-06-23 16:21:14.774,2025-06-23 16:21:14.781,15,598
24,8.1 Mittani 150,1,,,,,2025-06-23 16:21:14.814,2025-06-23 16:21:14.82,17,604
25,9.3 The Middle Elamite Kingdom 184,2,,,,,2025-06-23 16:21:14.832,2025-06-23 16:21:14.838,15,605
26,9.2 Assyria 178,3,,,,,2025-06-23 16:21:14.873,2025-06-23 16:21:14.88,15,612
27,8.2 The Hittite New Kingdom 155,2,,,,,2025-06-23 16:21:14.935,2025-06-23 16:21:14.941,17,617
28,8.3 Syria-Palestine 163,3,,,,,2025-06-23 16:21:14.974,2025-06-23 16:21:14.98,17,626
29,13.1 The Creation of an Imperial Structure 249,1,,,,,2025-06-23 16:21:15.187,2025-06-23 16:21:15.218,26,681
30,13.2 The Defeat of the Great Rivals 252,2,,,,,2025-06-23 16:21:15.24,2025-06-23 16:21:15.246,26,681
31,13.3 The Administration and Ideology of the Empire 259,3,,,,,2025-06-23 16:21:15.259,2025-06-23 16:21:15.266,26,681
32,13.4 Assyrian Culture 260,4,,,,,2025-06-23 16:21:15.287,2025-06-23 16:21:15.294,26,681
33,13.5 AssyriaΓÇÖs Fall 265,5,,,,,2025-06-23 16:21:15.34,2025-06-23 16:21:15.348,26,703
34,14.1 The Medes and the Anatolian States 271,1,,,,,2025-06-23 16:21:15.419,2025-06-23 16:21:15.419,31,
35,14.2 The Neo-Babylonian Dynasty 275,2,,,,,2025-06-23 16:21:15.431,2025-06-23 16:21:15.431,31,
36,15.1 The Sources and Their Challenges 289,1,,,,,2025-06-23 16:21:15.45,2025-06-23 16:21:15.45,32,
37,15.2 The Rise of Persia and Its Expansion 290,2,,,,,2025-06-23 16:21:15.463,2025-06-23 16:21:15.463,32,
38,15.3 Governance of the Subject States 295,3,,,,,2025-06-23 16:21:15.481,2025-06-23 16:21:15.481,32,
39,15.4 The Creation of an Imperial Structure 298,4,,,,,2025-06-23 16:21:15.494,2025-06-23 16:21:15.494,32,
40,16.1 Political Developments 306,1,,,,,2025-06-23 16:21:15.511,2025-06-23 16:21:15.511,33,
41,16.2 Administration of the Empire 310,2,,,,,2025-06-23 16:21:15.524,2025-06-23 16:21:15.524,33,
42,16.3 Local Forms of Persian Administration 313,3,,,,,2025-06-23 16:21:15.539,2025-06-23 16:21:15.539,33,
43,16.4 The End of the Empire 319,4,,,,,2025-06-23 16:21:15.552,2025-06-23 16:21:15.552,33,
44,A Greco-Roman World,1,,,,,2025-06-23 16:21:15.582,2025-06-23 16:21:15.582,35,
45,The Arrival of the Romans,2,,,,,2025-06-23 16:21:15.595,2025-06-23 16:21:15.595,35,
46,The End of the Mycenaean Civilization,3,,,,,2025-06-23 16:21:15.608,2025-06-23 16:21:15.608,10,
47,The Years of Glory (c. 1400-1200 BC),4,,,,,2025-06-23 16:21:15.622,2025-06-23 16:21:15.622,10,
48,* The End of Early Iron Age II (c. 750-700 BC),1,,,,,2025-06-23 16:21:15.64,2025-06-23 16:21:15.64,36,
49,"Community, Household, and Economy in the Early Iron Age II",2,,,,,2025-06-23 16:21:15.652,2025-06-23 16:21:15.652,36,
50,"Decline and Recovery, Early Iron Age I (c. 1200-900 BC)",3,,,,,2025-06-23 16:21:15.665,2025-06-23 16:21:15.665,36,
51,Homer and Oral Poetry,4,,,,,2025-06-23 16:21:15.68,2025-06-23 16:21:15.68,36,
52,Homeric Society,5,,,,,2025-06-23 16:21:15.692,2025-06-23 16:21:15.692,36,
53,Revival (c. 900-750 BC),6,,,,,2025-06-23 16:21:15.706,2025-06-23 16:21:15.706,36,
54,Sources for the Early Iron Age,7,,,,,2025-06-23 16:21:15.719,2025-06-23 16:21:15.719,36,
