id,title,url,type,duration,description,"thumbnailUrl","courseTitle","lectureNumber","createdAt","updatedAt","eventId","channelId","assignLater",status
4496,35:Ancient Egyptian Magic,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=35,Great Courses,,,,,,2025-06-23 16:09:12.216,2025-06-23 16:23:38.365,,,f,
4498,37:Dynasty XXII-Egypt United,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=37,Great Courses,,,,,,2025-06-23 16:09:12.225,2025-06-23 16:23:38.376,,,f,
4515,06:TutankhamenΓÇöA Murder Theory,https://www.thegreatcoursesplus.com/great-pharaohs-of-ancient-egypt/?lecplay=06,Great Courses,,,,,,2025-06-23 16:09:12.309,2025-06-23 16:23:38.448,620,,f,
4534,25:The Harappan Civilization of South Asia,https://www.thegreatcoursesplus.com/human-prehistory-and-the-first-civilizations/?lecplay=25,Great Courses,,,,,,2025-06-23 16:09:12.389,2025-06-23 16:23:38.522,495,,f,
4539,30:Southeast Asian Civilizations,https://www.thegreatcoursesplus.com/human-prehistory-and-the-first-civilizations/?lecplay=30,Great Courses,,,,,,2025-06-23 16:09:12.413,2025-06-23 16:23:38.54,649,,f,
4542,33:Highland Mesoamerican Civilization,https://www.thegreatcoursesplus.com/human-prehistory-and-the-first-civilizations/?lecplay=33,Great Courses,,,,,,2025-06-23 16:09:12.424,2025-06-23 16:23:38.552,,,f,
4562,28:Agrarian Civilizations of Mesoamerica,https://www.thegreatcoursesplus.com/the-big-history-of-civilizations/?lecplay=28,Great Courses,,,,,,2025-06-23 16:09:12.503,2025-06-23 16:23:38.629,,,f,
4579,16:The Hana Kingdom and Clues to a Dark Age,https://www.thegreatcoursesplus.com/ancient-mesopotamia-life-in-the-cradle-of-civilization/?lecplay=16,Great Courses,,,,,,2025-06-23 16:09:12.574,2025-06-23 16:23:38.696,,,f,
4585,"22:Neo-Assyrian Empire, Warfare, and Collapse",https://www.thegreatcoursesplus.com/ancient-mesopotamia-life-in-the-cradle-of-civilization/?lecplay=22,Great Courses,,,,,,2025-06-23 16:09:12.596,2025-06-23 16:23:38.719,,,f,
4456,The Origins of States and Civilizations,https://www.thegreatcoursesplus.com/human-prehistory-and-the-first-civilizations/?lecplay=19,Great Courses,,,,,,2025-06-23 16:09:11.951,2025-06-23 16:23:38.179,456,,f,
4457,Egypt - The Gift of the Nile,https://www.thegreatcoursesplus.com/the-foundations-of-western-civilization/?lecplay=3,Great Courses,,,,,,2025-06-23 16:09:11.958,2025-06-23 16:23:38.191,456,,f,
4458,Exploring the Gift of the Nile,https://www.thegreatcoursesplus.com/the-great-tours-a-guided-tour-of-ancient-egypt/?lecplay=1,Great Courses,,,,,,2025-06-23 16:09:11.962,2025-06-23 16:23:38.196,456,,f,
4459,The Major Museums of Ciaro,https://www.thegreatcoursesplus.com/the-great-tours-a-guided-tour-of-ancient-egypt/?lecplay=2,Great Courses,,,,,,2025-06-23 16:09:11.967,2025-06-23 16:23:38.2,456,,f,
4460,Egypt in the Pyramid Age,https://www.thegreatcoursesplus.com/origins-of-great-ancient-civilizations/?lecplay=5,Great Courses,,,,,,2025-06-23 16:09:11.972,2025-06-23 16:23:38.224,456,,f,
4461,Early Mediterranean Civilizations,https://www.thegreatcoursesplus.com/the-big-history-of-civilizations/?lecplay=11,Great Courses,,,,,,2025-06-23 16:09:11.977,2025-06-23 16:23:38.228,631,,f,
4462,Late Archaic Innovations,https://www.thegreatcoursesplus.com/ancient-civilizations-of-north-america/?lecplay=5,Great Courses,,,,,,2025-06-23 16:09:11.982,2025-06-23 16:23:38.232,461,,f,
4463,MesopotamiaΓÇÖs First Kings and the Military,https://www.thegreatcoursesplus.com/ancient-mesopotamia-life-in-the-cradle-of-civilization/?lecplay=6,Great Courses,,,,,,2025-06-23 16:09:11.987,2025-06-23 16:23:38.237,469,,f,
4464,Early Dynastic Workers and Worshipers,https://www.thegreatcoursesplus.com/ancient-mesopotamia-life-in-the-cradle-of-civilization/?lecplay=7,Great Courses,,,,,,2025-06-23 16:09:11.992,2025-06-23 16:23:38.241,469,,f,
4465,Living in Mesopotamia,https://www.thegreatcoursesplus.com/the-other-side-of-history-daily-life-in-the-ancient-world/?lecplay=3,Great Courses,,,,,,2025-06-23 16:09:11.996,2025-06-23 16:23:38.245,469,,f,
4466,Mesopotamian Kings and Scribes,https://www.thegreatcoursesplus.com/origins-of-great-ancient-civilizations/?lecplay=3,Great Courses,,,,,,2025-06-23 16:09:12.015,2025-06-23 16:23:38.249,469,,f,
4467,07:The Rise of the Old Kingdom,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=07,Great Courses,,,,,,2025-06-23 16:09:12.021,2025-06-23 16:23:38.253,481,,f,
4468,"08:Sneferu, the Pyramid Builder",https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=08,Great Courses,,,,,,2025-06-23 16:09:12.025,2025-06-23 16:23:38.256,489,,f,
4469,09:The Great Pyramid of Giza,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=09,Great Courses,,,,,,2025-06-23 16:09:12.03,2025-06-23 16:23:38.26,500,,f,
4471,11:The First Intermediate Period,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=11,Great Courses,,,,,,2025-06-23 16:09:12.057,2025-06-23 16:23:38.268,553,,f,
4472,12:The Middle Kingdom-Dynasty XI,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=12,Great Courses,,,,,,2025-06-23 16:09:12.062,2025-06-23 16:23:38.272,555,,f,
4473,13:The Middle Kingdom-Dynasty XII,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=13,Great Courses,,,,,,2025-06-23 16:09:12.067,2025-06-23 16:23:38.276,573,,f,
4474,14:The Second Intermediate Period,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=14,Great Courses,,,,,,2025-06-23 16:09:12.083,2025-06-23 16:23:38.28,588,,f,
4475,15:Joseph in Egypt,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=15,Great Courses,,,,,,2025-06-23 16:09:12.091,2025-06-23 16:23:38.284,588,,f,
4476,16:The Beginning of the New Kingdom-The Fabulous XVIIIth Dynasty,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=16,Great Courses,,,,,,2025-06-23 16:09:12.1,2025-06-23 16:23:38.287,601,,f,
4477,17:Queen Hatshepsut,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=17,Great Courses,,,,,,2025-06-23 16:09:12.105,2025-06-23 16:23:38.292,,,f,
4478,18:Obelisks,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=18,Great Courses,,,,,,2025-06-23 16:09:12.11,2025-06-23 16:23:38.296,,,f,
4479,19:Tuthmosis III-King At Last,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=19,Great Courses,,,,,,2025-06-23 16:09:12.113,2025-06-23 16:23:38.3,,,f,
4480,20:The Fabulous XVIIIth Dynasty Rolls On,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=20,Great Courses,,,,,,2025-06-23 16:09:12.117,2025-06-23 16:23:38.304,,,f,
4481,21:Akhenaten the Heretic Pharaoh,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=21,Great Courses,,,,,,2025-06-23 16:09:12.121,2025-06-23 16:23:38.308,,,f,
4482,22:The Discovery of Tutankhamen's Tomb,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=22,Great Courses,,,,,,2025-06-23 16:09:12.142,2025-06-23 16:23:38.312,,,f,
4483,23:The Murder of Tutankhamen-A Theory,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=23,Great Courses,,,,,,2025-06-23 16:09:12.15,2025-06-23 16:23:38.316,,,f,
4484,24:Medicine-The Necessary Art,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=24,Great Courses,,,,,,2025-06-23 16:09:12.154,2025-06-23 16:23:38.32,,,f,
4485,25:The End of Dynasty XVIII,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=25,Great Courses,,,,,,2025-06-23 16:09:12.158,2025-06-23 16:23:38.325,,,f,
4486,26:Mummification-How We Know What We Know,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=26,Great Courses,,,,,,2025-06-23 16:09:12.164,2025-06-23 16:23:38.329,,,f,
4487,27:What Mummies Tell Us,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=27,Great Courses,,,,,,2025-06-23 16:09:12.169,2025-06-23 16:23:38.332,,,f,
4488,28:Making a Modern Mummy,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=28,Great Courses,,,,,,2025-06-23 16:09:12.172,2025-06-23 16:23:38.336,,,f,
4489,29 min,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=29,Great Courses,,,,,,2025-06-23 16:09:12.176,2025-06-23 16:23:38.34,,,f,
4491,30:Ramses the Great-The Early Years,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=30,Great Courses,,,,,,2025-06-23 16:09:12.183,2025-06-23 16:23:38.344,,,f,
4492,31:Ramses the Great-The Later Years,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=31,Great Courses,,,,,,2025-06-23 16:09:12.187,2025-06-23 16:23:38.348,,,f,
4493,32:The Exodus-Did It Happen?,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=32,Great Courses,,,,,,2025-06-23 16:09:12.191,2025-06-23 16:23:38.352,,,f,
4494,33:The Decline of Dynasty XIX,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=33,Great Courses,,,,,,2025-06-23 16:09:12.195,2025-06-23 16:23:38.356,,,f,
4495,34:Dynasty XX-The Decline Continues,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=34,Great Courses,,,,,,2025-06-23 16:09:12.199,2025-06-23 16:23:38.361,,,f,
4497,36:Dynasty XXI-Egypt Divided,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=36,Great Courses,,,,,,2025-06-23 16:09:12.221,2025-06-23 16:23:38.372,,,f,
4499,38:Dynasty XXV-The Nubians Have Their Day,https://www.thegreatcoursesplus.com/history-of-ancient-egypt/?lecplay=38,Great Courses,,,,,,2025-06-23 16:09:12.228,2025-06-23 16:23:38.381,,,f,
